1336641658,60.027,122.213
1336641660,60.027,122.165
1336641661,60.027,122.192
1336641662,60.027,122.21
1336641663,60.027,122.344
1336641664,60.027,122.057
1336641665,60.027,122.25
1336641666,60.028,121.945
1336641667,60.027,122.369
1336641668,60.027,121.988
1336641669,60.027,122.254
1336641670,60.027,121.993
1336641672,60.027,122.096
1336641673,60.026,121.993
1336641674,60.025,122.208
1336641675,60.027,122.011
1336641676,60.028,122.245
1336641677,60.027,122.043
1336641678,60.027,122.457
1336641679,60.027,122.028
1336641680,60.027,122.32
1336641681,60.029,121.995
1336641682,60.029,122.566
1336641683,60.027,121.982
1336641685,60.027,122.355
1336641686,60.027,122.052
1336641687,60.027,122.416
1336641688,60.027,122.103
1336641689,60.027,122.472
1336641690,60.027,122.741
1336641691,60.027,122.757
1336641692,60.025,122.627
1336641693,60.024,122.624
1336641694,60.026,122.594
1336641695,60.029,122.443
1336641697,60.027,122.555
1336641698,60.027,122.324
1336641699,60.027,122.53
1336641700,60.027,122.258
1336641701,60.028,122.764
1336641702,60.027,122.385
1336641703,60.024,122.968
1336641704,60.027,122.355
1336641705,60.027,122.877
1336641706,60.027,122.411
1336641707,60.027,122.839
1336641708,60.027,122.61
1336641710,60.027,122.839
1336641711,60.027,122.479
1336641712,60.027,122.787
1336641713,60.002,122.464
1336641714,60.002,122.998
1336641715,60,122.436
1336641716,59.998,122.908
1336641717,60.022,122.474
1336641718,60.023,122.854
1336641719,60.023,122.573
1336641720,60.022,122.834
1336641722,60.023,122.575
1336641723,60.024,122.833
1336641724,60.024,122.749
1336641725,60.021,122.96
1336641726,60.021,122.899
1336641727,60.021,122.733
1336641728,60.021,122.853
1336641729,60.019,122.707
1336641730,60.019,122.949
1336641731,60.018,122.719
1336641732,60.019,122.901
1336641733,60.019,122.559
1336641735,60.02,122.756
1336641736,60.02,122.547
1336641737,60.021,123.024
1336641738,60.022,122.532
1336641739,60.021,123.015
1336641740,60.021,122.446
1336641741,60.023,122.893
1336641742,60.023,122.571
1336641743,60.023,123.043
1336641744,60.024,122.58
1336641745,60.027,123.062
1336641747,60.027,122.558
1336641748,60.027,123.041
1336641749,60.027,122.589
1336641750,60.027,123.011
1336641751,60.027,122.953
1336641752,60.002,123.233
1336641753,60,122.881
1336641754,59.999,122.934
1336641755,60.022,122.681
1336641756,60.023,122.783
1336641757,60.024,122.75
1336641758,60.024,122.761
1336641760,60.026,122.96
1336641761,60.025,122.752
1336641762,60.027,122.961
1336641763,60.027,122.706
1336641764,60.027,123.143
1336641765,60.027,122.801
1336641766,60.001,123.31
1336641767,60.025,122.609
1336641768,60.026,122.915
1336641769,60.026,122.501
1336641770,60.024,122.832
1336641772,60.026,122.54
1336641773,60.027,122.791
1336641774,60.027,122.565
1336641775,60.027,122.82
1336641776,60.027,122.564
1336641777,60.027,122.861
1336641778,60.027,122.57
1336641779,60.027,123.087
1336641780,60.003,122.717
1336641781,60.002,123.217
1336641782,60.002,122.953
1336641783,60,123.124
1336641785,60,122.823
1336641786,59.998,122.949
1336641787,60.023,122.611
1336641788,60.022,122.685
1336641789,60.024,122.576
1336641790,60.025,122.595
1336641791,60.026,122.712
1336641792,60.025,122.618
1336641793,60.027,122.872
1336641794,60.027,122.686
1336641795,60.027,123.094
1336641797,60.027,122.718
1336641798,60.027,123.045
1336641799,60,122.532
1336641800,60.023,123.073
1336641801,60.023,122.514
1336641802,60.023,123.267
1336641803,60.021,122.599
1336641804,60.019,123.29
1336641805,60.019,122.544
1336641806,60.019,123.275
1336641807,59.993,122.603
1336641809,59.997,123.323
1336641810,60.001,122.608
1336641811,60.027,123.213
1336641812,60.027,122.625
1336641813,60.026,123.1
1336641814,60.021,122.729
1336641815,60.015,123.109
1336641816,60.012,122.758
1336641817,59.992,122.998
1336641818,60.002,122.866
1336641819,60.027,122.979
1336641820,60.017,122.883
1336641822,60.01,122.898
1336641823,59.993,122.975
1336641824,60.027,122.903
1336641825,60.018,123.159
1336641826,60.009,122.91
1336641827,59.992,123.282
1336641828,60.026,122.847
1336641829,60.01,123.216
1336641830,59.989,122.768
1336641831,60.027,122.887
