1340011288,59.99,122.772
1340011289,60.015,122.766
1340011290,59.983,122.765
1340011291,60.018,122.768
1340011292,59.98,122.79
1340011293,60.022,122.761
1340011294,59.978,122.74
1340011295,59.997,122.731
1340011296,59.978,122.749
1340011297,59.997,122.74
1340011298,59.978,122.738
1340011299,59.993,122.715
1340011300,59.979,122.715
1340011301,60.011,122.714
1340011302,59.987,122.726
1340011303,60.002,122.762
1340011304,59.991,122.758
1340011305,59.979,122.736
1340011306,60.007,122.74
1340011307,59.992,122.751
1340011308,59.978,122.714
1340011309,59.99,122.716
1340011310,59.985,122.727
1340011311,60.003,122.706
1340011312,59.991,122.734
1340011313,59.978,122.746
1340011314,60.006,122.74
1340011315,59.99,122.732
1340011316,59.978,122.745
1340011317,60.012,122.717
1340011318,59.988,122.751
1340011319,59.978,122.708
1340011320,59.99,122.716
1340011321,59.982,122.702
1340011322,60.006,122.643
1340011323,59.991,122.642
1340011324,59.978,122.618
1340011325,60.009,122.644
1340011326,59.99,122.675
1340011327,59.978,122.706
1340011328,60.009,122.685
1340011329,59.987,122.711
1340011330,59.978,122.685
1340011331,60.004,122.659
1340011332,59.986,122.661
1340011333,59.981,122.675
1340011334,59.978,122.703
1340011335,60.01,122.705
1340011336,59.986,122.643
1340011337,59.978,122.631
1340011338,59.978,122.652
1340011339,59.988,122.653
1340011340,59.983,122.658
1340011341,59.978,122.638
1340011342,60.011,122.638
1340011343,59.988,122.627
1340011344,59.978,122.593
1340011345,60.012,122.635
1340011346,59.987,122.617
1340011347,59.978,122.648
1340011348,60.008,122.628
1340011349,59.987,122.641
1340011350,59.978,122.624
1340011351,60.003,122.67
1340011352,59.988,122.673
1340011353,59.979,122.648
1340011355,60.003
1340011356,59.986,122.629
1340011357,59.983,122.619
1340011358,59.978,122.634
1340011359,59.987,122.649
1340011360,59.985,122.622
1340011361,59.978,122.624
1340011362,59.978,122.593
1340011363,59.984,122.638
1340011364,59.984,122.615
1340011365,59.978,122.638
1340011366,59.978,122.64
1340011367,60.007,122.576
1340011368,59.984,122.618
1340011369,59.982,122.637
1340011370,59.978,122.646
1340011371,59.978,122.631
1340011372,59.983,122.662
1340011373,59.983,122.628
1340011374,59.979,122.646
1340011375,59.978,122.661
1340011376,59.982,122.666
1340011377,59.98,122.667
1340011378,59.982,122.67
1340011379,59.978,122.683
1340011380,59.978,122.652
1340011381,60.003,122.661
1340011382,59.981,122.64
1340011383,59.98,122.68
1340011384,59.98,122.657
1340011385,59.978,122.664
1340011386,59.978,122.647
1340011387,59.976,122.644
1340011388,59.978,122.64
1340011389,59.981,122.7
1340011390,59.979,122.668
1340011391,59.977,122.65
1340011392,59.978,122.668
1340011393,59.978,122.653
1340011394,59.978,122.663
1340011395,59.983,122.64
1340011396,59.983,122.688
1340011397,59.978,122.683
1340011398,59.978,122.682
1340011399,59.986,122.752
1340011400,59.986,122.73
1340011401,59.978,122.725
1340011402,60.005,122.713
1340011403,59.988,122.737
1340011404,59.978,122.734
1340011405,60.005,122.723
1340011406,59.988,122.695
1340011407,59.979,122.707
1340011408,59.978,122.712
1340011409,59.989,122.69
1340011410,59.98,122.669
1340011411,59.978,122.697
1340011412,59.987,122.731
1340011413,59.984,122.73
1340011414,60.005,122.749
1340011415,59.992,122.712
1340011416,59.978,122.716
1340011417,60.014,122.728
1340011418,59.985,122.731
1340011419,60.004,122.715
1340011420,59.992,122.701
1340011421,59.978,122.727
1340011422,60.012,122.735
1340011423,59.987,122.744
1340011424,59.978,122.733
1340011425,59.991,122.738
1340011426,59.98,122.707
1340011427,60.009,122.751
1340011428,59.991,122.774
1340011429,59.978,122.761
1340011430,59.993,122.769
1340011431,59.979,122.778
1340011432,60.009,122.788
1340011433,59.99,122.768
1340011434,59.978,122.824
1340011435,59.991,122.771
1340011436,59.979,122.781
1340011437,60.009,122.762
1340011438,59.99,122.772
1340011439,59.978,122.782
1340011440,59.99,122.771
1340011441,59.983,122.779
1340011442,59.978,122.743
1340011443,59.989,122.764
1340011444,59.98,122.741
1340011446,60.008,122.771
1340011447,59.991,122.762
1340011448,59.978,122.758
1340011449,59.996,122.794
1340011450,59.978,122.778
1340011451,59.994,122.797
1340011452,59.978,122.791
1340011453,60.017,122.806
1340011454,59.981,122.799
