3.0227e-14,1.6607e-11,10,0.1,0.1,3.0901e-14,3.0268e-14,1.334,8.5843,0.18165
2.7499e-14,1.5991e-13,5.7201,0.1,0.1,3.4022e-14,2.7121e-14,1.576,4.0658,0.17835
2.7531e-14,1.5972e-13,3.9614,9.437,9.437,3.4063e-14,2.7159e-14,1.747,11.472,0.17947
2.7536e-14,1.5945e-13,3.2295,9.4349,9.4349,3.4083e-14,2.7172e-14,1.33,11.154,0.18053
2.7535e-14,1.5943e-13,2.4402,9.5046,9.5046,3.4089e-14,2.7168e-14,1.107,10.478,0.36
2.7532e-14,1.5935e-13,0.42067,0.78033,0.78033,3.4099e-14,2.7163e-14,1.201,2.9738e-10,2.0176e-10
1.1021e-13,1.1919e-13,0.8232,0.44318,0.44318,0.1,1.0341e-13,1.079,1.3762e-10,0.28738
1.1605e-13,1.1612e-13,0.80662,0.1,0.1,0.2,1.0858e-13,1.034,4.0838e-11,0.072624
1.1529e-13,1.1742e-13,0.721,0.1,0.1,0.8,1.0875e-13,1.338,3.6526e-11,0.283
3.0997e-11,7.5,2.0186e-13,2.1884e-13,7.5,1.2,7.5218e-12,1.123,7.2017e-11,0.077
0.89046,4.0974,0.077279,0.00077279,4.0982,1.1095,7.4979e-12,1.007,9.7855e-11,0.18059
1.3446,3.5696e-11,1.6014e-08,1.743e-10,2.0998e-10,1.1554,8.0615e-12,0.976,1.0208e-10,0.17941
1.0167,2.2539e-11,1.2005e-08,1.6388e-10,1.864e-10,1.6833,8.5906e-12,1.498,2.9636e-10,0.18527
0.88927,1.4618e-11,5.913e-09,9.8399e-11,1.13e-10,2.3107,9.3918e-12,2.136,3.6268e-10,0.17473
0.99812,7.9364e-12,2.7848e-09,5.425e-11,6.2169e-11,2.0019,1.1391e-11,1.815,3.7262e-10,0.18688
0.66088,6.4362e-12,2.305e-09,4.5142e-11,5.156e-11,1.8391,1.1514e-11,1.666,5.7093e-10,0.17312
0.124,5.3224e-12,1.874e-09,3.7588e-11,4.2892e-11,2.176,6.7216e-12,1.816,5.8467e-10,0.36
1.7561e-09,3.9266e-12,0.012871,0.00012871,0.00012871,1.7,1.5806e-11,1.713,3.1034e-11,1.3894e-10
1.1927e-13,1.1042e-13,0.57568,0.1,0.1,1.2,1.0988e-13,1.647,5.0672e-11,0.22868
1.1865e-13,1.1215e-13,1.2933,0.1,0.1,0.5,1.0919e-13,1.762,5.2641e-11,0.13132
2.778e-14,1.5047e-13,1.5689,0.1,0.1,3.354e-14,2.722e-14,1.527,5.2112e-11,0.1419
2.7769e-14,1.5119e-13,1.5801,0.1,0.1,3.3529e-14,2.7187e-14,1.462,3.5041e-11,0.2181
2.7632e-14,1.5321e-13,0.1,3.1633,3.1633,3.3918e-14,2.7083e-14,1.461,1.5613,0.24105
2.7605e-14,1.5327e-13,0.1,10,10,3.3938e-14,2.71e-14,1.296,8.685,0.11895
