kitchen:lights,1342948700,260,0,18
kitchen:sink,1342948703,65,0,18
kitchenhall:lights1,1342948707,195,0,18
hall:lights1,1342948710,195,0,8
guest:lights,1342948714,260,0,8
guestbath:fan,1342948718,50,0,8
guestbath:overheadlight,1342948721,100,0,8
guestbath:sinklight,1342948724,60,0,8
livingroom:dininglights,1342948728,130,0,7
livingroom:firelights,1342948731,130,0,7
livingroom:sideporch,1342948735,130,0,7
livingroom:lights1,1342948739,260,0,7
frontporch:light,1342948742,20,0,8
stairs:lights1,1342948746,65,0,8
masterbath:overheadlight,1342948749,100,0,20
masterbath:fan,1342948753,50,0,20
masterbath:sinklight,1342948756,60,0,20
master:lights,1342948760,260,0,22
master:dcloset,1342948764,20,0,22
master:jcloset,1342948768,20,0,22
bedroom:lights,1342948771,260,0,20
bedroom:maincloset,1342948775,20,0,20
bedroom:linencloset,1342948778,20,0,20
bedroom:closet,1342948782,20,0,20
bedroom:lights,1342990248,260,0,20
masterbath:overheadlight,1342990258,100,0,20
masterbath:fan,1342990261,50,0,20
masterbath:sinklight,1342990264,60,0,20
bedroom:maincloset,1342990267,20,0,20
bedroom:linencloset,1342990271,20,0,20
bedroom:closet,1342990274,20,0,20
bedroom:lights,1342990291,260,0,20
master:dcloset,1342990407,20,1,22
masterbath:overheadlight,1342990408,100,1,20
master:dcloset,1342990410,20,0,22
masterbath:overheadlight,1342990415,100,1,20
masterbath:fan,1342990418,50,0,20
masterbath:sinklight,1342990422,60,0,20
bedroom:lights,1342990425,260,0,20
bedroom:maincloset,1342990428,20,0,20
bedroom:linencloset,1342990432,20,0,20
bedroom:closet,1342990435,20,0,20
masterbath:sinklight,1342990484,60,0,20
masterbath:overheadlight,1342990485,100,0,20
masterbath:fan,1342990495,50,0,20
masterbath:overheadlight,1342990498,100,0,20
masterbath:sinklight,1342990501,60,0,20
bedroom:lights,1342990505,260,0,20
bedroom:maincloset,1342990508,20,0,20
bedroom:linencloset,1342990512,20,0,20
