kitchen:lights,1336555006,260,0,18
kitchen:sink,1336555009,65,0,18
kitchenhall:lights1,1336555013,195,0,18
hall:lights1,1336555016,195,0,8
guest:lights,1336555019,260,0,8
guestbath:fan,1336555023,50,0,8
guestbath:overheadlight,1336555026,100,0,8
guestbath:sinklight,1336555030,60,0,8
livingroom:dininglights,1336555033,130,0,7
livingroom:firelights,1336555037,130,0,7
livingroom:sideporch,1336555040,130,0,7
livingroom:lights1,1336555044,260,0,7
frontporch:light,1336555047,20,0,8
stairs:lights1,1336555051,65,0,8
masterbath:overheadlight,1336555054,100,0,20
masterbath:fan,1336555058,50,0,20
masterbath:sinklight,1336555061,60,0,20
master:lights,1336555065,260,0,22
master:dcloset,1336555068,20,0,22
master:jcloset,1336555071,20,0,22
bedroom:lights,1336555075,260,0,20
bedroom:maincloset,1336555079,20,0,20
bedroom:linencloset,1336555082,20,0,20
bedroom:closet,1336555086,20,0,20
masterbath:sinklight,1336559701,60,1,20
masterbath:overheadlight,1336559707,100,0,20
masterbath:fan,1336559711,50,0,20
masterbath:sinklight,1336559714,60,1,20
bedroom:lights,1336559717,260,0,20
bedroom:maincloset,1336559721,20,0,20
bedroom:linencloset,1336559724,20,0,20
bedroom:closet,1336559727,20,0,20
masterbath:fan,1336560124,50,1,20
masterbath:overheadlight,1336560131,100,0,20
masterbath:fan,1336560134,50,1,20
masterbath:sinklight,1336560137,60,1,20
bedroom:lights,1336560141,260,0,20
bedroom:maincloset,1336560144,20,0,20
bedroom:linencloset,1336560147,20,0,20
bedroom:closet,1336560150,20,0,20
masterbath:sinklight,1336560967,60,0,20
masterbath:fan,1336560972,50,0,20
masterbath:overheadlight,1336560979,100,0,20
masterbath:fan,1336560982,50,0,20
masterbath:sinklight,1336560986,60,0,20
bedroom:lights,1336560989,260,0,20
bedroom:maincloset,1336560992,20,0,20
bedroom:linencloset,1336560996,20,0,20
bedroom:closet,1336560999,20,0,20
bedroom:lights,1336562920,260,1,20
masterbath:fan,1336562927,50,0,20
masterbath:overheadlight,1336562930,100,0,20
masterbath:sinklight,1336562933,60,0,20
bedroom:maincloset,1336562936,20,0,20
bedroom:linencloset,1336562940,20,0,20
bedroom:closet,1336562943,20,0,20
bedroom:lights,1336563166,260,0,20
bedroom:lights,1336563167,260,0.76,20
masterbath:overheadlight,1336563173,100,0,20
masterbath:fan,1336563177,50,0,20
masterbath:sinklight,1336563180,60,0,20
stairs:lights1,1336563183,65,1,8
bedroom:maincloset,1336563186,20,0,20
bedroom:lights,1336563190,260,0,20
bedroom:linencloset,1336563193,20,0,20
bedroom:closet,1336563196,20,0,20
hall:lights1,1336563199,195,0,8
guest:lights,1336563203,260,0,8
stairs:lights1,1336563205,65,0,8
guestbath:overheadlight,1336563209,100,0,8
guestbath:fan,1336563213,50,0,8
guestbath:sinklight,1336563216,60,0,8
frontporch:light,1336563219,20,0,8
hall:lights1,1336563222,195,0,8
guest:lights,1336563226,260,0,8
guestbath:overheadlight,1336563229,100,0,8
stairs:lights1,1336563232,65,0,8
masterbath:sinklight,1336565613,60,1,20
masterbath:overheadlight,1336565620,100,0,20
masterbath:fan,1336565623,50,0,20
masterbath:sinklight,1336565626,60,1,20
bedroom:lights,1336565630,260,0,20
bedroom:maincloset,1336565633,20,0,20
bedroom:linencloset,1336565636,20,0,20
bedroom:closet,1336565640,20,0,20
masterbath:sinklight,1336565819,60,0,20
masterbath:overheadlight,1336565826,100,0,20
masterbath:fan,1336565829,50,0,20
masterbath:sinklight,1336565833,60,0,20
bedroom:lights,1336565836,260,0,20
bedroom:maincloset,1336565839,20,0,20
bedroom:linencloset,1336565842,20,0,20
bedroom:closet,1336565846,20,0,20
kitchen:lights,1336606081,260,0.48,18
kitchen:sink,1336606085,65,0,18
kitchenhall:lights1,1336606088,195,0,18
stairs:lights1,1336606581,65,1,8
hall:lights1,1336606588,195,0,8
guest:lights,1336606592,260,0,8
guestbath:fan,1336606595,50,0,8
guestbath:overheadlight,1336606598,100,0,8
guestbath:sinklight,1336606602,60,0,8
frontporch:light,1336606605,20,0,8
stairs:lights1,1336606608,65,1,8
masterbath:overheadlight,1336606639,100,1,20
masterbath:overheadlight,1336606646,100,1,20
masterbath:fan,1336606649,50,0,20
masterbath:sinklight,1336606653,60,0,20
bedroom:lights,1336606656,260,0,20
bedroom:maincloset,1336606659,20,0,20
bedroom:linencloset,1336606662,20,0,20
bedroom:closet,1336606666,20,0,20
masterbath:overheadlight,1336607994,100,0,20
masterbath:overheadlight,1336608001,100,0,20
stairs:lights1,1336608002,65,0,8
masterbath:fan,1336608004,50,0,20
masterbath:sinklight,1336608008,60,0,20
bedroom:lights,1336608011,260,0,20
bedroom:maincloset,1336608014,20,0,20
bedroom:linencloset,1336608017,20,0,20
bedroom:closet,1336608021,20,0,20
hall:lights1,1336608024,195,0,8
guest:lights,1336608027,260,0,8
guestbath:fan,1336608031,50,0,8
guestbath:overheadlight,1336608034,100,0,8
guestbath:sinklight,1336608037,60,0,8
frontporch:light,1336608040,20,0,8
stairs:lights1,1336608044,65,0,8
stairs:lights1,1336608919,65,1,8
hall:lights1,1336608926,195,0,8
guest:lights,1336608929,260,0,8
guestbath:fan,1336608932,50,0,8
guestbath:overheadlight,1336608936,100,0,8
guestbath:sinklight,1336608939,60,0,8
frontporch:light,1336608942,20,0,8
stairs:lights1,1336608945,65,1,8
stairs:lights1,1336608953,65,0,8
hall:lights1,1336608960,195,0,8
guest:lights,1336608963,260,0,8
guestbath:fan,1336608966,50,0,8
guestbath:overheadlight,1336608970,100,0,8
guestbath:sinklight,1336608973,60,0,8
frontporch:light,1336608976,20,0,8
stairs:lights1,1336608979,65,0,8
stairs:lights1,1336609067,65,1,8
hall:lights1,1336609074,195,0,8
guest:lights,1336609078,260,0,8
guestbath:fan,1336609081,50,0,8
stairs:lights1,1336609083,65,0,8
guestbath:overheadlight,1336609084,100,0,8
guestbath:sinklight,1336609087,60,0,8
frontporch:light,1336609091,20,0,8
hall:lights1,1336609094,195,0,8
guest:lights,1336609097,260,0,8
guestbath:fan,1336609101,50,0,8
guestbath:overheadlight,1336609104,100,0,8
guestbath:sinklight,1336609107,60,0,8
stairs:lights1,1336609110,65,0,8
masterbath:sinklight,1336610142,60,1,20
masterbath:overheadlight,1336610149,100,0,20
masterbath:fan,1336610152,50,0,20
masterbath:sinklight,1336610155,60,1,20
bedroom:lights,1336610158,260,0,20
bedroom:maincloset,1336610162,20,0,20
bedroom:linencloset,1336610165,20,0,20
bedroom:closet,1336610168,20,0,20
master:lights,1336610231,260,0.41,22
master:dcloset,1336610235,20,0,22
master:jcloset,1336610238,20,0,22
master:lights,1336610360,260,0,22
master:lights,1336610367,260,0,22
master:dcloset,1336610370,20,0,22
master:jcloset,1336610373,20,0,22
masterbath:sinklight,1336610439,60,0,20
masterbath:overheadlight,1336610446,100,0,20
masterbath:fan,1336610449,50,0,20
masterbath:sinklight,1336610452,60,0,20
